Basic,Stage1,Stage2
Murkrow,Honchkrow,
Misdreavus,Mismagius,
Wynaut,Wobbuffet,
Pineco,Forretress,
Gligar,Gliscor,
Snubbull,Granbull,
Sneasel,Weavile,
Teddiursa,Ursaring,
Slugma,Magcargo,
Swinub,Piloswine,Mamoswine
Remoraid,Octillery,
Mantyke,Mantine,
Houndour,Houndoom,
Phanpy,Donphan,
Larvitar,Pupitar,Tyranitar
Treecko,Grovyle,Sceptile
Torchic,Combusken,Blaziken
Mudkip,Marshtomp,Swampert
Poochyena,Mightyena,
Zigzagoon,Linoone,
Wurmple,Silcoon,Beautifly
Wurmple,Cascoon,Dustox
Lotad,Lombre,Ludicolo
Seedot,Nuzleaf,Shiftry
Taillow,Swellow,
Wingull,Pelipper,
Ralts,Kirlia,Gardevoir
Ralts,Kirlia,Gallade
Surskit,Masquerain,
Shroomish,Breloom,
Slakoth,Vigoroth,Slaking
Nincada,Ninjask,
Nincada,Shedinja,
Whismur,Loudred,Exploud
Makuhita,Hariyama,
Nosepass,Probopass,
Skitty,Delcatty,
Aron,Lairon,Aggron
Meditite,Medicham,
Electrike,Manectric,
Budew,Roselia,Roserade
Gulpin,Swalot,
Carvanha,Sharpedo,
Wailmer,Wailord,
Numel,Camerupt,
Spoink,Grumpig,
Trapinch,Vibrava,Flygon
Cacnea,Cacturne,
Swablu,Altaria,
Barboach,Whiscash,
Corphish,Crawdaunt,
Baltoy,Claydol,
Lileep,Cradily,
Anorith,Armaldo,
Feebas,Milotic,
Shuppet,Banette,
Duskull,Dusclops,Dusknoir
Chingling,Chimecho,
Snorunt,Glalie,
Snorunt,Froslass,
Spheal,Sealeo,Walrein
Clamperl,Huntail,
Clamperl,Gorebyss,
Bagon,Shelgon,Salamence
Beldum,Metang,Metagross
Turtwig,Grotle,Torterra
Chimchar,Monferno,Infernape
Piplup,Prinplup,Empoleon
Starly,Staravia,Staraptor
Bidoof,Bibarel,
Kricketot,Kricketune,
Shinx,Luxio,Luxray
Cranidos,Rampardos,
Shieldon,Bastiodon,
Burmy,Mothim,
Burmy,Wormadam,
Combee,Vespiquen,
Buizel,Floatzel,
Cherubi,Cherrim,
Shellos,Gastrodon,
Drifloon,Drifblim,
Buneary,Lopunny,
Glameow,Purugly,
Stunky,Skuntank,
Bronzor,Bronzong,
Gible,Gabite,Garchomp
Riolu,Lucario,
Hippopotas,Hippowdon,
Skorupi,Drapion,
Croagunk,Toxicroak,
Finneon,Lumineon,
Snover,Abomasnow,
Snivy,Servine,Serperior
Tepig,Pignite,Emboar
Oshawott,Dewott,Samurott
Patrat,Watchog,
Lillipup,Herdier,Stoutland
Purrloin,Liepard,
Pansage,Simisage,
Pansear,Simisear,
Panpour,Simipour,
Munna,Musharna,
Pidove,Tranquill,Unfezant
Blitzle,Zebstrika,
Roggenrola,Boldore,Gigalith
Woobat,Swoobat,
Drilbur,Excadrill,
Timburr,Gurdurr,Conkeldurr
Tympole,Palpitoad,Seismitoad
Sewaddle,Swadloon,Leavanny
Venipede,Whirlipede,Scolipede
Cottonee,Whimsicott,
Petilil,Lilligant,
Sandile,Krokorok,Krookodile
Darumaka,Darmanitan,
Dwebble,Crustle,
Scraggy,Scrafty,
Yamask,Cofagrigus,
Tirtouga,Carracosta,
Archen,Archeops,
Trubbish,Garbodor,
Zorua,Zoroark,
Minccino,Cinccino,
Gothita,Gothorita,Gothitelle
Solosis,Duosion,Reuniclus
Ducklett,Swanna,
Vanillite,Vanillish,Vanilluxe
Deerling,Sawsbuck,
Karrablast,Escavalier,
Foongus,Amoonguss,
Frillish,Jellicent,
Joltik,Galvantula,
Ferroseed,Ferrothorn,
Klink,Klang,Klinklang
Tynamo,Eelektrik,Eelektross
Elgyem,Beheeyem,
Litwick,Lampent,Chandelure
Axew,Fraxure,Haxorus
Cubchoo,Beartic,
Shelmet,Accelgor,
Mienfoo,Mienshao,
Golett,Golurk,
Pawniard,Bisharp,
Rufflet,Braviary,
Vullaby,Mandibuzz,
Deino,Zweilous,Hydreigon
Larvesta,Volcarona,
Chespin,Quilladin,Chesnaught
Fennekin,Braixen,Delphox
Froakie,Frogadier,Greninja
Bunnelby,Diggersby,
Fletchling,Fletchinder,Talonflame
Scatterbug,Spewpa,Vivillon
Litleo,Pyroar,
Flabébé,Floette,Florges
Skiddo,Gogoat,
Pancham,Pangoro,
Espurr,Meowstic,
Honedge,Doublade,Aegislash
Spritzee,Aromatisse,
Swirlix,Slurpuff,
Inkay,Malamar,
Binacle,Barbaracle,
Skrelp,Dragalge,
Clauncher,Clawitzer,
Helioptile,Heliolisk,
Tyrunt,Tyrantrum,
Amaura,Aurorus,
Goomy,Sliggoo,Goodra
Phantump,Trevenant,
Pumpkaboo,Gourgeist,
Bergmite,Avalugg,
Noibat,Noivern,
Rowlet,Dartrix,Decidueye
Litten,Torracat,Incineroar
Popplio,Brionne,Primarina
Pikipek,Trumbeak,Toucannon
Yungoos,Gumshoos,
Grubbin,Charjabug,Vikavolt
Crabrawler,Crabominable,
Cutiefly,Ribombee,
Rockruff,Lycanroc,
Mareanie,Toxapex,
Mudbray,Mudsdale,
Dewpider,Araquanid,
Fomantis,Lurantis,
Morelull,Shiinotic,
Salandit,Salazzle,
Stufful,Bewear,
Bounsweet,Steenee,Tsareena
Wimpod,Golisopod,
Sandygast,Palossand,
Type: Null,Silvally,
Jangmo-o,Hakamo-o,Kommo-o
Cosmog,Cosmoem,Solgaleo
Cosmog,Cosmoem,Lunala
